groupKey,groupName,companyKey,companyName,productFolder,productName,imageCount,BHX,bhxPrice,bhxPriceStatus,bhxPriceFetchedAt,satrafood,Coop Mart,MEgA,Winmart
condiments_oil,"Dầu ăn, nước chấm, gia vị",ajinomoto,Công ty Ajinomoto Việt Nam,hat-nem-aji-ngon-vi-heo-goi-900g,Hat Nem Aji Ngon Vi Heo Goi 900g,5,https://www.bachhoaxanh.com/hat-nem/hat-nem-vi-heo-aji-ngon-goi-900g,75.500₫,ok(schema),2026-03-15T18:02:46.718Z,https://satrafoods.com.vn/vn/san-pham/hat-nem-ajingon-heo-900g.html,https://cooponline.vn/hat-nem-aji-ngon-vi-heo-goi-900g--s250100396,,https://winmart.vn/products/aji-ngon-hat-nem-goi-900g--s10009213?storeCode=1535&storeGroupCode=1998
condiments_oil,"Dầu ăn, nước chấm, gia vị",ajinomoto,Công ty Ajinomoto Việt Nam,xot-mayonnaise-ajinomoto-aji-mayo-chua-beo-chai-130g,Xot Mayonnaise Ajinomoto Aji Mayo Chua Beo Chai 130g,5,https://www.bachhoaxanh.com/tuong-ot-ca-den/xot-aji-mayo-130g-40,22.500₫,ok(schema),2026-03-15T18:02:47.800Z,https://satrafoods.com.vn/vn/san-pham/xot-aji-mayo-130g.html,,,https://winmart.vn/products/aji-mayo-sot-mayonnaise-tuyp-130g--s10008607?storeCode=1535&storeGroupCode=1998
condiments_oil,"Dầu ăn, nước chấm, gia vị",ajinomoto,Công ty Ajinomoto Việt Nam,xot-mayonnaise-ajinomoto-aji-mayo-chua-beo-chai-260g,Xot Mayonnaise Ajinomoto Aji Mayo Chua Beo Chai 260g,5,https://www.bachhoaxanh.com/tuong-ot-ca-den/xot-mayonnaise-aji-mayo-trung-ga-tuoi-260g,39.000₫,ok(schema),2026-03-15T18:02:48.563Z,,https://cooponline.vn/sot-mayonnaise-aji-mayo-chai-260g--s250100409,,https://winmart.vn/products/aji-mayo-sot-mayonnaise-chai-260g--s10009550?storeCode=1535&storeGroupCode=1998
condiments_oil,"Dầu ăn, nước chấm, gia vị",ajinomoto,Công ty Ajinomoto Việt Nam,xot-mayonnaise-ajinomoto-aji-mayo-chua-beo-chai-430g,Xot Mayonnaise Ajinomoto Aji Mayo Chua Beo Chai 430g,1,https://www.bachhoaxanh.com/tuong-ot-ca-den/xot-mayonnaise-ajinomoto-aji-mayo-chua-beo-chai-430g,55.000₫,ok(schema),2026-03-15T18:02:49.364Z,,https://cooponline.vn/sot-mayonnaise-ajinomoto-chai-430g--s250100384,,https://winmart.vn/products/aji-mayo-sot-mayonnaise-chai-430g--s10009576?storeCode=1535&storeGroupCode=1998
condiments_oil,"Dầu ăn, nước chấm, gia vị",ajinomoto,Công ty Ajinomoto Việt Nam,xot-mayonnaise-ajinomoto-aji-mayo-ngot-diu-chai-130g,Xot Mayonnaise Ajinomoto Aji Mayo Ngot Diu Chai 130g,5,https://www.bachhoaxanh.com/tuong-ot-ca-den/xot-aji-mayo-ngot-diu-130g-40,22.500₫,ok(schema),2026-03-15T18:02:50.214Z,https://satrafoods.com.vn/vn/san-pham/xot-aji-mayo-ngot-diu-130g.html,https://cooponline.vn/sot-mayonnaise-ngot-diu-aji-mayo-chai-130g--s250100382,,https://winmart.vn/products/aji-mayo-sot-mayoinaise-ngotdiu-260g--s10141941?storeCode=1535&storeGroupCode=1998
condiments_oil,"Dầu ăn, nước chấm, gia vị",golden_farm,Công ty Cánh Đồng Vàng (Golden Farm),X???t m?? Spaghetti truy???n th???ng Golden Farm h?? 370g,X???t m?? Spaghetti truy???n th???ng Golden Farm h?? 370g,5,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",acecook,Công ty Cổ phần Acecook Việt Nam,Mu???i ch???m H???o H???o t??m chua cay h?? 120g,Mu???i ch???m H???o H???o t??m chua cay h?? 120g,5,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",lien_thanh,Công ty Cổ phần Chế biến Thủy hải sản Liên Thành,N?????c m???m chay Li??n Th??nh 5 ????? ?????m chai 300ml,N?????c m???m chay Li??n Th??nh 5 ????? ?????m chai 300ml,2,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",afotech,Công ty Cổ phần Công nghệ thực phẩm Châu Á (AFOTECH),N?????c m???m Madame L??n 16 ????? ?????m chai 410ml,N?????c m???m Madame L??n 16 ????? ?????m chai 410ml,3,,,missing-url,2026-03-15T18:02:50.231Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",d_shining,Công ty Cổ phần D-SHINING,N?????c ch???m ?????u B???p T??m chai 800ml,N?????c ch???m ?????u B???p T??m chai 800ml,5,,,missing-url,2026-03-15T18:02:50.231Z,,,,
